Piloto,Seguidores,Tweets,Likes,Rts,Fecha
yukitsunoda07,479253,761,518524,37919,2023-03-18 09:47:34.533303
ZhouGuanyu24,365166,1111,492547,18084,2023-03-18 09:47:36.309307
SChecoPerez,3610589,4727,1567145,96208,2023-03-18 09:47:38.131602
OscarPiastri,294046,1402,872602,63301,2023-03-18 09:47:39.483601
HulkHulkenberg,1180926,1440,536266,22362,2023-03-18 09:47:40.883601
nyckdevries,91189,2957,37632,1365,2023-03-18 09:47:42.827603
LoganSargeant,50293,721,92356,3190,2023-03-18 09:47:44.897602
LewisHamilton,8016531,1453,3837758,266294,2023-03-20 13:05:06.064603
alo_oficial,3416182,9027,768969,56141,2023-03-20 13:05:08.390601
ValtteriBottas,1584013,6029,315060,14922,2023-03-20 13:05:10.775601
KevinMagnussen,863787,1355,221982,9642,2023-03-20 13:05:12.627600
Max33Verstappen,3265466,2276,1853584,126409,2023-03-20 13:05:13.925601
Carlossainz55,2057352,8740,473850,22845,2023-03-20 13:05:15.613270
OconEsteban,823355,2471,306189,10936,2023-03-20 13:05:17.024846
lance_stroll,383033,601,333290,11300,2023-03-20 13:05:18.881730
PierreGASLY,1359972,2756,1898921,97003,2023-03-20 13:05:20.323144
Charles_Leclerc,2506679,2150,3784988,221966,2023-03-20 13:05:21.801134
LandoNorris,2300242,6775,799155,27584,2023-03-20 13:05:23.507763
GeorgeRussell63,1845567,3137,1767011,84759,2023-03-20 13:05:25.151737
alex_albon,778216,486,1202826,65060,2023-03-20 13:05:27.038390
yukitsunoda07,480528,761,518348,37918,2023-03-20 13:05:28.462453
ZhouGuanyu24,366462,1113,478786,17674,2023-03-20 13:05:30.335076
SChecoPerez,3622944,4730,1705674,110683,2023-03-20 13:05:32.098431
OscarPiastri,296720,1405,892511,64154,2023-03-20 13:05:33.469588
HulkHulkenberg,1182215,1442,464155,17476,2023-03-20 13:05:35.043661
nyckdevries,91496,2957,37615,1365,2023-03-20 13:05:36.961791
LoganSargeant,51731,723,98002,3272,2023-03-20 13:05:39.510547
LewisHamilton,8017743,1453,3837115,266301,2023-03-21 13:06:43.261336
alo_oficial,3447890,9029,1070024,102616,2023-03-21 13:06:46.046886
ValtteriBottas,1585364,6029,315711,14938,2023-03-21 13:06:48.786529
KevinMagnussen,864484,1355,222539,9651,2023-03-21 13:06:50.775378
Max33Verstappen,3267573,2276,1857499,126554,2023-03-21 13:06:52.402305
Carlossainz55,2059817,8741,477091,22923,2023-03-21 13:06:54.198146
OconEsteban,824438,2471,306774,10949,2023-03-21 13:06:55.682845
lance_stroll,384550,601,333264,11299,2023-03-21 13:06:57.717219
PierreGASLY,1361077,2756,1899120,96991,2023-03-21 13:06:59.277478
Charles_Leclerc,2509882,2151,3812427,223036,2023-03-21 13:07:00.795667
LandoNorris,2301856,6776,813360,27987,2023-03-21 13:07:02.680858
GeorgeRussell63,1850323,3137,1796156,85739,2023-03-21 13:07:04.718112
alex_albon,778960,486,1203556,65067,2023-03-21 13:07:06.637011
yukitsunoda07,481890,762,523057,38621,2023-03-21 13:07:08.281266
ZhouGuanyu24,367220,1113,479227,17685,2023-03-21 13:07:10.255039
SChecoPerez,3627686,4730,1727048,112391,2023-03-21 13:07:12.122385
OscarPiastri,297560,1406,893426,64141,2023-03-21 13:07:13.858307
HulkHulkenberg,1182912,1442,465166,17493,2023-03-21 13:07:15.494232
nyckdevries,91657,2957,37600,1364,2023-03-21 13:07:17.415562
LoganSargeant,52155,723,98656,3282,2023-03-21 13:07:19.783479
LewisHamilton,8020149,1455,3915358,277053,2023-03-22 16:15:12.394113
alo_oficial,3459038,9033,1166377,109451,2023-03-22 16:15:15.116109
ValtteriBottas,1586227,6031,309789,14870,2023-03-22 16:15:17.839146
KevinMagnussen,864828,1355,222579,9650,2023-03-22 16:15:19.947291
Max33Verstappen,3268749,2276,1857795,126586,2023-03-22 16:15:21.914883
Carlossainz55,2061380,8744,420729,20655,2023-03-22 16:15:24.309952
OconEsteban,825104,2471,306803,10959,2023-03-22 16:15:26.914885
lance_stroll,385530,601,333244,11301,2023-03-22 16:15:28.897630
PierreGASLY,1362369,2757,1902286,97685,2023-03-22 16:15:30.461617
Charles_Leclerc,2512366,2151,3819687,223311,2023-03-22 16:15:32.136146
LandoNorris,2302885,6777,814752,28061,2023-03-22 16:15:34.137666
GeorgeRussell63,1853355,3139,1772204,82317,2023-03-22 16:15:36.873475
alex_albon,779640,487,1042851,57167,2023-03-22 16:15:39.267235
yukitsunoda07,482561,762,524241,38675,2023-03-22 16:15:40.824263
ZhouGuanyu24,367658,1113,479116,17683,2023-03-22 16:15:43.225489
SChecoPerez,3630401,4730,1730417,112646,2023-03-22 16:15:45.296762
OscarPiastri,298217,1408,893480,64165,2023-03-22 16:15:46.864177
HulkHulkenberg,1183190,1442,465146,17488,2023-03-22 16:15:48.641426
nyckdevries,91758,2957,37623,1365,2023-03-22 16:15:51.138131
LoganSargeant,52372,723,98685,3283,2023-03-22 16:15:54.592751
LewisHamilton,8020989,1455,3924871,277717,2023-03-23 17:24:29.495243
alo_oficial,3469742,9035,1262865,113353,2023-03-23 17:24:32.438244
ValtteriBottas,1587010,6032,309120,14794,2023-03-23 17:24:34.858244
KevinMagnussen,865101,1355,222501,9648,2023-03-23 17:24:36.889243
Max33Verstappen,3269698,2276,1857545,126615,2023-03-23 17:24:38.513242
Carlossainz55,2062724,8744,411187,20756,2023-03-23 17:24:40.705242
OconEsteban,825617,2471,306802,10954,2023-03-23 17:24:42.472242
lance_stroll,386297,601,333160,11301,2023-03-23 17:24:44.612243
PierreGASLY,1363152,2757,1904648,97803,2023-03-23 17:24:46.245244
Charles_Leclerc,2514115,2151,3819187,223349,2023-03-23 17:24:47.984243
LandoNorris,2303912,6778,808367,27705,2023-03-23 17:24:50.119243
GeorgeRussell63,1858474,3142,1560312,62183,2023-03-23 17:24:52.187244
alex_albon,780193,487,1043494,57206,2023-03-23 17:24:55.009243
yukitsunoda07,482936,762,524280,38678,2023-03-23 17:24:56.600242
ZhouGuanyu24,367832,1113,478997,17681,2023-03-23 17:24:58.721243
SChecoPerez,3632216,4730,1731262,112734,2023-03-23 17:25:01.006243
OscarPiastri,298754,1408,894538,64189,2023-03-23 17:25:02.652243
HulkHulkenberg,1183532,1442,464914,17486,2023-03-23 17:25:04.313243
nyckdevries,91831,2957,37597,1364,2023-03-23 17:25:06.569242
LoganSargeant,52537,723,98668,3283,2023-03-23 17:25:09.007242
LewisHamilton,8021799,1455,3927200,277751,2023-03-25 07:44:43.338392
alo_oficial,3473717,9037,1250364,112394,2023-03-25 07:44:52.181337
ValtteriBottas,1587706,6033,311529,14809,2023-03-25 07:44:56.851873
KevinMagnussen,865323,1355,222556,9650,2023-03-25 07:45:00.480395
Max33Verstappen,3270641,2276,1858212,126606,2023-03-25 07:45:03.373779
Carlossainz55,2064122,8744,427477,20900,2023-03-25 07:45:06.040555
OconEsteban,826140,2472,308029,10988,2023-03-25 07:45:08.048355
lance_stroll,387188,601,333213,11300,2023-03-25 07:45:11.025150
PierreGASLY,1363967,2757,1905488,97817,2023-03-25 07:45:13.172038
Charles_Leclerc,2516069,2151,3820729,223347,2023-03-25 07:45:15.424942
LandoNorris,2304753,6779,825275,28069,2023-03-25 07:45:18.553888
GeorgeRussell63,1860323,3142,1575954,62568,2023-03-25 07:45:21.365160
alex_albon,780920,488,1051525,57594,2023-03-25 07:45:24.848563
yukitsunoda07,483315,762,524376,38675,2023-03-25 07:45:27.199877
ZhouGuanyu24,368203,1113,479046,17683,2023-03-25 07:45:29.946854
SChecoPerez,3634229,4730,1732249,112777,2023-03-25 07:45:32.833993
OscarPiastri,299400,1411,892136,64185,2023-03-25 07:45:35.148623
HulkHulkenberg,1183613,1442,465032,17483,2023-03-25 07:45:37.294010
nyckdevries,91942,2957,37621,1365,2023-03-25 07:45:40.406958
LoganSargeant,52764,723,98708,3282,2023-03-25 07:45:43.786728
LewisHamilton,8031830,1465,3983951,289203,2023-04-04 12:52:12.847379
alo_oficial,3508717,9057,1598113,136734,2023-04-04 12:52:15.602779
ValtteriBottas,1595185,6055,276242,13291,2023-04-04 12:52:18.039842
KevinMagnussen,867841,1358,221673,9631,2023-04-04 12:52:19.907673
Max33Verstappen,3281721,2279,1815467,124707,2023-04-04 12:52:21.470270
Carlossainz55,2080410,8740,420756,19725,2023-04-04 12:52:22.933010
OconEsteban,831085,2482,297913,10371,2023-04-04 12:52:24.404964
lance_stroll,392823,602,336457,11374,2023-04-04 12:52:26.370170
PierreGASLY,1370725,2758,1897995,97616,2023-04-04 12:52:27.904245
Charles_Leclerc,2534530,2152,3814477,223667,2023-04-04 12:52:29.439331
LandoNorris,2313338,6802,724145,23327,2023-04-04 12:52:31.583593
GeorgeRussell63,1878142,3149,1437512,54094,2023-04-04 12:52:33.497335
alex_albon,785722,494,720322,31592,2023-04-04 12:52:35.086846
yukitsunoda07,487425,763,539217,39864,2023-04-04 12:52:36.572309
ZhouGuanyu24,373248,1121,469815,17260,2023-04-04 12:52:38.318026
SChecoPerez,3650162,4734,1744250,111312,2023-04-04 12:52:40.237781
OscarPiastri,305376,1432,261924,9637,2023-04-04 12:52:41.705877
HulkHulkenberg,1185536,1443,456521,17288,2023-04-04 12:52:43.310211
nyckdevries,92679,2957,37546,1365,2023-04-04 12:52:45.226217
LoganSargeant,54120,724,100087,3341,2023-04-04 12:52:47.440156
LewisHamilton,8032664,1465,3985263,289316,2023-04-05 12:57:22.397422
alo_oficial,3510837,9057,1619915,137642,2023-04-05 12:57:25.086305
ValtteriBottas,1595809,6057,275145,13389,2023-04-05 12:57:27.167505
KevinMagnussen,868019,1359,220235,9603,2023-04-05 12:57:28.917897
