resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25548,1101,842,214,10,\N,8,'8',\N,4,57,+55.670s,\N,55,17,1:31.971,211.840,1
25549,1101,839,214,31,\N,9,'9',\N,2,57,+58.123s,\N,56,9,1:31.143,213.765,1
25550,1101,825,210,20,\N,10,'10',\N,1,57,+62.945s,\N,53,13,1:31.691,212.487,1
25551,1101,852,213,22,\N,11,'11',\N,0,57,+64.309s,\N,56,8,1:31.038,214.011,1
25552,1101,840,117,18,\N,12,'12',\N,0,57,+64.754s,\N,44,5,1:30.862,214.426,1
25553,1101,822,51,77,\N,13,'13',\N,0,57,+71.637s,\N,56,15,1:31.838,212.147,1
25554,1101,848,3,23,\N,14,'14',\N,0,57,+72.861s,\N,55,16,1:31.852,212.115,1
25555,1101,858,210,27,\N,15,'15',\N,0,57,+74.950s,\N,36,6,1:30.901,214.334,1
25556,1101,855,51,24,\N,16,'16',\N,0,57,+78.440s,\N,56,14,1:31.736,212.383,1
25557,1101,846,1,4,\N,17,'17',\N,0,57,+87.717s,\N,47,20,1:32.401,210.854,1
25558,1101,859,213,21,\N,18,'18',\N,0,57,+88.949s,\N,57,12,1:31.562,212.786,1
25559,1101,857,1,81,\N,0,'0',\N,0,56,\N,\N,56,18,1:32.006,211.760,1
25560,1101,860,3,2,\N,0,'0',\N,0,56,\N,\N,50,19,1:32.384,210.893,1
25561,1103,830,9,1,\N,1,'1',\N,25,78,1:48:51.980,\N,78,1,25,,1
25562,1103,4,117,14,\N,2,'2',\N,18,78,+27.921s,\N,78,2,18,,1
25563,1103,839,214,31,\N,3,'3',\N,15,78,+36.990s,\N,78,3,15,,1
25564,1103,1,131,44,\N,4,'4',\N,13,78,+39.062s,\N,78,4,13,,1
25565,1103,847,131,63,\N,5,'5',\N,10,78,+56.284s,\N,78,5,10,,1
25566,1103,844,6,16,\N,6,'6',\N,8,78,+61.890s,\N,78,6,8,,1
25567,1103,842,214,10,\N,7,'7',\N,6,78,+62.362s,\N,78,7,6,,1
25568,1103,832,6,55,\N,8,'8',\N,4,78,+63.391s,\N,78,8,4,,1
